brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,year_sold,price_per_sqft
44690.0,for_sale,1349000.0,3.0,2.0,0.32,1292415.0,San Diego,California,92116.0,1352.0,2005-11-03,2005.0,997.7810650887574
54717.0,for_sale,655000.0,4.0,2.0,0.28,1744678.0,San Diego,California,92114.0,1424.0,1986-08-15,1986.0,459.9719101123595
44455.0,for_sale,595000.0,3.0,2.0,,1578018.0,San Diego,California,92139.0,1222.0,2020-07-09,2020.0,486.90671031096565
101008.0,for_sale,768000.0,4.0,3.0,0.18,1732041.0,San Diego,California,92114.0,1776.0,2014-08-29,2014.0,432.43243243243245
101008.0,for_sale,389000.0,2.0,1.0,,1528862.0,San Diego,California,92115.0,845.0,2013-02-21,2013.0,460.35502958579883
72654.0,for_sale,990000.0,4.0,2.0,0.18,1528933.0,San Diego,California,92115.0,2196.0,2015-12-07,2015.0,450.8196721311475
84683.0,for_sale,549999.0,2.0,2.0,,1125001.0,San Diego,California,92116.0,836.0,2015-12-28,2015.0,657.8935406698564
10340.0,for_sale,2995000.0,4.0,4.0,0.32,1652436.0,San Diego,California,92037.0,2802.0,1999-11-10,1999.0,1068.8793718772306
32920.0,for_sale,4290000.0,4.0,3.0,0.15,991114.0,San Diego,California,92037.0,3281.0,2003-06-20,2003.0,1307.5281926241998
53016.0,for_sale,774900.0,2.0,2.0,,828682.0,San Diego,California,92037.0,1160.0,2021-05-28,2021.0,668.0172413793103
48629.0,for_sale,2995000.0,8.0,7.0,,540392.0,San Diego,California,92024.0,3450.0,2019-09-24,2019.0,868.1159420289855
72655.0,for_sale,775000.0,2.0,2.0,0.84,1396474.0,San Diego,California,92101.0,1012.0,2015-10-30,2015.0,765.8102766798419
92597.0,for_sale,489000.0,1.0,1.0,,401689.0,San Diego,California,92101.0,672.0,2018-08-17,2018.0,727.6785714285714
22611.0,for_sale,589000.0,2.0,1.0,,1396266.0,San Diego,California,92101.0,884.0,2011-10-27,2011.0,666.289592760181
23089.0,for_sale,777000.0,2.0,2.0,,923392.0,San Diego,California,92101.0,958.0,2005-01-20,2005.0,811.0647181628392
23089.0,for_sale,579000.0,2.0,2.0,0.78,373259.0,San Diego,California,92101.0,1030.0,2019-12-27,2019.0,562.1359223300971
53533.0,for_sale,1088800.0,4.0,2.0,0.13,1056431.0,San Diego,California,92103.0,1476.0,1979-11-07,1979.0,737.6693766937669
16829.0,for_sale,699000.0,2.0,2.0,,255507.0,San Diego,California,92103.0,988.0,2021-06-01,2021.0,707.4898785425102
98735.0,for_sale,548000.0,1.0,1.0,0.46,1281582.0,San Diego,California,92103.0,668.0,2007-02-23,2007.0,820.3592814371258
4961.0,for_sale,575000.0,2.0,2.0,0.52,511132.0,San Diego,California,92103.0,888.0,2005-10-18,2005.0,647.5225225225225
53541.0,for_sale,675000.0,2.0,2.0,0.64,1041121.0,San Diego,California,92103.0,955.0,2004-08-17,2004.0,706.8062827225131
109978.0,for_sale,425000.0,1.0,1.0,0.74,1134408.0,San Diego,California,92103.0,641.0,2019-11-15,2019.0,663.0265210608425
21001.0,for_sale,799900.0,2.0,2.0,0.52,1098625.0,San Diego,California,92103.0,1159.0,2019-04-23,2019.0,690.1639344262295
53541.0,for_sale,995000.0,2.0,2.0,,,San Diego,California,92103.0,1843.0,2005-11-16,2005.0,539.880629408573
33731.0,for_sale,749000.0,2.0,2.0,3.94,255506.0,San Diego,California,92103.0,949.0,2021-03-30,2021.0,789.2518440463646
109977.0,for_sale,800000.0,3.0,3.0,0.54,1130428.0,San Diego,California,92103.0,1374.0,2018-05-29,2018.0,582.2416302765648
32924.0,for_sale,448000.0,1.0,1.0,0.45,1087174.0,San Diego,California,92103.0,609.0,2003-08-06,2003.0,735.6321839080459
55029.0,for_sale,689900.0,2.0,2.0,0.6,1112590.0,San Diego,California,92103.0,1006.0,2019-01-30,2019.0,685.7852882703777
23089.0,for_sale,799000.0,2.0,3.0,,1112556.0,San Diego,California,92103.0,1245.0,2008-05-23,2008.0,641.7670682730924
108536.0,for_sale,1850000.0,4.0,4.0,0.08,252922.0,San Diego,California,92103.0,2473.0,1998-09-03,1998.0,748.0792559644157
102411.0,for_sale,689000.0,1.0,1.0,0.52,1098626.0,San Diego,California,92103.0,1114.0,2017-04-21,2017.0,618.491921005386
11574.0,for_sale,1075000.0,2.0,2.0,,446070.0,San Diego,California,92103.0,700.0,2021-05-27,2021.0,1535.7142857142858
16829.0,for_sale,5200000.0,4.0,5.0,0.32,1061567.0,San Diego,California,92103.0,4934.0,1990-10-25,1990.0,1053.911633563032
86564.0,for_sale,2200000.0,3.0,2.0,0.21,960480.0,San Diego,California,92103.0,2565.0,1978-07-13,1978.0,857.6998050682262
23592.0,for_sale,1650000.0,3.0,2.0,0.42,1024587.0,San Diego,California,92103.0,2013.0,1999-03-05,1999.0,819.672131147541
16829.0,for_sale,689000.0,2.0,2.0,,1092534.0,San Diego,California,92103.0,812.0,2011-07-01,2011.0,848.5221674876848
17236.0,for_sale,695000.0,2.0,2.0,,224860.0,San Diego,California,92103.0,844.0,2017-01-06,2017.0,823.4597156398104
23592.0,for_sale,2200000.0,4.0,3.0,0.14,1224466.0,San Diego,California,92103.0,2088.0,2000-05-15,2000.0,1053.639846743295
16829.0,for_sale,750000.0,2.0,2.0,0.32,1134652.0,San Diego,California,92103.0,1025.0,2019-07-03,2019.0,731.7073170731708
97317.0,for_sale,1250000.0,5.0,2.0,0.09,1094605.0,San Diego,California,92103.0,1576.0,2021-06-14,2021.0,793.1472081218274
109978.0,for_sale,1699900.0,6.0,4.0,,925184.0,San Diego,California,92103.0,3155.0,1977-12-09,1977.0,538.7955625990492
101966.0,for_sale,1499000.0,2.0,2.0,0.12,1104179.0,San Diego,California,92103.0,1450.0,1996-02-28,1996.0,1033.7931034482758
23592.0,for_sale,1949000.0,5.0,4.0,,1060868.0,San Diego,California,92103.0,2375.0,1988-05-17,1988.0,820.6315789473684
16829.0,for_sale,1599900.0,2.0,2.0,,1080988.0,San Diego,California,92103.0,1788.0,1996-07-29,1996.0,894.7986577181208
109978.0,for_sale,1350000.0,3.0,2.0,,969102.0,San Diego,California,92103.0,1353.0,2015-08-04,2015.0,997.7827050997782
100437.0,for_sale,1299000.0,3.0,3.0,0.04,53595.0,San Diego,California,92103.0,1227.0,1997-12-12,1997.0,1058.679706601467
23592.0,for_sale,2595000.0,4.0,4.0,0.13,712177.0,San Diego,California,92103.0,2370.0,2021-09-28,2021.0,1094.9367088607594
22611.0,for_sale,2195000.0,4.0,4.0,,1084682.0,San Diego,California,92103.0,2230.0,2017-11-22,2017.0,984.3049327354261
16829.0,for_sale,1925000.0,2.0,3.0,,796694.0,San Diego,California,92103.0,2625.0,2020-02-25,2020.0,733.3333333333334
16829.0,for_sale,2950000.0,3.0,3.0,,1081083.0,San Diego,California,92103.0,2376.0,2015-12-30,2015.0,1241.5824915824917
109978.0,for_sale,1799900.0,3.0,3.0,,1211710.0,San Diego,California,92103.0,1750.0,2020-12-29,2020.0,1028.5142857142857
109978.0,for_sale,650000.0,2.0,2.0,0.41,1196240.0,San Diego,California,92104.0,840.0,2015-01-07,2015.0,773.8095238095239
108252.0,for_sale,599000.0,2.0,2.0,,1102340.0,San Diego,California,92104.0,1020.0,2004-06-18,2004.0,587.2549019607843
22828.0,for_sale,610000.0,2.0,2.0,0.49,1102029.0,San Diego,California,92104.0,980.0,2003-08-15,2003.0,622.4489795918367
63916.0,for_sale,735000.0,1.0,1.0,0.03,886335.0,San Diego,California,92104.0,632.0,2015-08-19,2015.0,1162.9746835443038
1400.0,for_sale,575000.0,2.0,2.0,0.16,1131882.0,San Diego,California,92104.0,748.0,2020-03-11,2020.0,768.716577540107
23089.0,for_sale,415000.0,1.0,1.0,0.17,1198333.0,San Diego,California,92104.0,598.0,2016-04-18,2016.0,693.9799331103679
53175.0,for_sale,525000.0,2.0,2.0,0.17,1132914.0,San Diego,California,92104.0,696.0,2016-07-28,2016.0,754.3103448275862
53541.0,for_sale,599000.0,2.0,2.0,,1224653.0,San Diego,California,92104.0,904.0,2020-09-10,2020.0,662.6106194690266
99229.0,for_sale,759000.0,2.0,1.0,,1059764.0,San Diego,California,92104.0,676.0,2001-05-15,2001.0,1122.7810650887575
29019.0,for_sale,1399000.0,3.0,2.0,0.13,644834.0,San Diego,California,92104.0,1562.0,2021-12-03,2021.0,895.6466069142125
16829.0,for_sale,1649000.0,3.0,2.0,0.15,1030541.0,San Diego,California,92104.0,1699.0,1999-06-23,1999.0,970.5709240729841
